Category,QuestionID,Recommendations,Blank,1,2,3,4,5
A,1,"Educate Employers Who May Hire Deaf, DeafBlind, and Hard of Hearing (DDBHH): Promote The Employer Reasonable Accommodation Fund",47,0,2,15,46,75
A,2,Commission Host Self-Advocacy Training via Train-the-Trainer,53,1,1,36,48,46
A,3,Commission Lead a Public Campaign to Raise Awareness about Minnesota's Court Interpreter Program'ss ADA Grievance Procedure and Complaint Processes,55,1,3,36,49,41
A,4,Educate Potential Hiring Entities and Employers: ADA Responsibilities,47,0,0,17,50,71
A,5,Educate All Entities on ADA Responsibilities and How to Access Interpreters,45,0,2,11,42,85
A,6,Commission Host Self-Advocacy Training via Online Videos,59,1,9,38,43,35
A,7,Support Professional Development for Interpreters and Transparency for Consumers via RateMyInterpreter.Com,57,9,13,28,38,40
A,8,Establish a New Home and Community Services Interpreting Funding,65,2,2,32,45,39
A,9,Explicitly Teach DDBHH K12 and College Students about Working with Interpreters,51,2,3,16,46,67
B,10,"Create Centralized Website of Resources, Including a Directory of Interpreters and Specializations",54,1,2,15,53,60
B,11,Complete Studies about DDBHH Communities and Interpreting Field,59,0,4,20,57,45
B,12,Support Business Development by Developing a Public State Payscale for Freelancers,65,2,14,33,48,23
B,13,Require All Major Local News Services to Provide Picture-in-Picture Interpreters,54,2,7,22,43,57
B,14,Expand Deaf and Hard of Hearing Services Division (DHHSD) Grants,58,2,2,13,41,69
B,15,Create a Central State Government Interpreting Services Office,65,6,17,28,35,34
B,16,Recognize Additional Specialty Areas of Interpreting,55,0,3,31,59,37
B,17,Unionize Interpreters,65,17,18,45,25,15
B,18,Establish Licensure for Interpreters,60,15,19,34,34,23
B,19,Centralize Referral System under Minnesota Commission,70,17,16,40,23,19
B,20,Make Interpreters State Employees,66,22,26,37,17,17
B,21,Create Quality Specialist Position in State Government,65,8,8,33,39,32
C,19,Centralize Referral System under Minnesota Commission,65,12,29,36,25,18
C,21,Create Quality Specialist Position in State Government,68,7,14,36,35,25
